hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults
Resort Hotel - Chandigarh,0,70,2024,November,44,1,2,3,2
Resort Hotel - Pune,0,107,2024,June,24,14,2,5,2
Resort Hotel - Delhi,1,47,2024,July,27,3,2,5,2
Resort Hotel - Kolkata,0,96,2024,August,32,5,2,5,2
Resort Hotel - Bhopal,0,113,2024,February,5,4,2,5,2
Resort Hotel - Mumbai,0,90,2024,April,16,19,2,5,2
Resort Hotel - Goa,0,50,2024,December,52,28,2,5,2
Resort Hotel - Mumbai,0,113,2024,March,12,24,2,5,2
Resort Hotel - Ahmedabad,0,93,2024,January,4,26,3,8,2
Resort Hotel - Lucknow,0,76,2024,July,27,2,4,10,2
Resort Hotel - Pune,0,3,2024,August,35,27,0,1,2
Resort Hotel - Bhopal,0,1,2024,November,45,5,0,1,2
Resort Hotel - Bangalore,0,1,2024,January,4,27,0,1,2
Resort Hotel - Bangalore,0,0,2024,July,29,15,0,1,2
Resort Hotel - Delhi,0,0,2024,October,42,14,0,1,2
Resort Hotel - Mumbai,0,0,2024,November,47,21,0,1,2
Resort Hotel - Chennai,0,14,2024,May,18,2,0,2,2
Resort Hotel - Delhi,0,10,2024,August,32,10,0,2,2
Resort Hotel - Jaipur,0,5,2024,May,22,30,0,2,2
Resort Hotel - Delhi,0,17,2024,May,18,2,0,3,2
Resort Hotel - Kochi,0,93,2024,July,27,6,0,3,2
Resort Hotel - Kochi,1,3,2024,July,31,31,0,3,2
Resort Hotel - Chandigarh,0,10,2024,November,47,23,0,2,2
Resort Hotel - Lucknow,0,3,2024,January,2,8,0,2,2
Resort Hotel - Kochi,0,51,2024,June,22,2,0,2,2
Resort Hotel - Chandigarh,1,71,2024,August,34,25,0,2,3
Resort Hotel - Kolkata,1,63,2024,February,5,2,0,2,2
Resort Hotel - Kolkata,1,62,2024,September,36,3,0,2,2
Resort Hotel - Jaipur,1,101,2024,August,35,30,0,2,2
Resort Hotel - Jaipur,0,2,2024,October,43,24,0,2,2
Resort Hotel - Ahmedabad,0,15,2024,December,1,30,0,2,2
Resort Hotel - Lucknow,1,51,2024,February,7,12,0,2,3
Resort Hotel - Lucknow,0,3,2024,August,33,14,1,2,2
Resort Hotel - Kochi,1,48,2024,January,1,3,1,2,2
Resort Hotel - Mumbai,0,2,2024,July,27,6,2,2,1
Resort Hotel - Chennai,0,72,2024,January,4,25,2,2,2
Resort Hotel - Bhopal,0,81,2024,May,21,20,2,6,3
Resort Hotel - Kolkata,0,99,2024,August,33,12,2,7,2
Resort Hotel - Jaipur,1,368,2024,December,52,28,3,7,2
Resort Hotel - Pune,0,364,2024,November,45,9,3,7,2
Resort Hotel - Jaipur,1,81,2024,May,22,27,3,7,2
Resort Hotel - Pune,0,99,2024,October,42,20,3,7,2
Resort Hotel - Jaipur,0,324,2024,March,12,22,4,10,2
Resort Hotel - Bhopal,0,69,2024,November,48,30,4,10,2
Resort Hotel - Chandigarh,1,79,2024,February,9,26,6,15,2
Resort Hotel - Chennai,0,12,2024,June,24,13,0,1,2
Resort Hotel - Delhi,0,9,2024,September,39,25,0,1,2
Resort Hotel - Chennai,0,1,2024,September,36,6,0,1,2
Resort Hotel - Ahmedabad,0,21,2024,May,18,5,0,1,2
Resort Hotel - Delhi,0,9,2024,September,39,24,0,1,2
Resort Hotel - Hyderabad,0,109,2024,August,33,17,0,1,2
Resort Hotel - Bangalore,1,109,2024,September,36,6,0,2,2
Resort Hotel - Bhopal,1,72,2024,March,12,21,0,2,2
Resort Hotel - Hyderabad,1,63,2024,September,38,19,2,5,2
Resort Hotel - Hyderabad,0,63,2024,November,47,21,2,5,3
Resort Hotel - Lucknow,0,101,2024,January,3,21,2,5,2
Resort Hotel - Mumbai,0,102,2024,January,1,2,2,5,2
Resort Hotel - Chandigarh,0,4,2024,August,32,5,2,1,2
Resort Hotel - Lucknow,0,98,2024,April,16,15,2,1,2
Resort Hotel - Ahmedabad,0,92,2024,May,18,1,2,4,1
Resort Hotel - Indore,0,95,2024,September,37,10,2,4,2
Resort Hotel - Kochi,0,102,2024,September,38,16,2,5,2
Resort Hotel - Jaipur,1,26,2024,February,7,16,2,5,2
Resort Hotel - Lucknow,1,73,2024,December,51,16,2,5,3
Resort Hotel - Goa,1,102,2024,April,14,6,2,5,2
Resort Hotel - Hyderabad,0,115,2024,June,23,9,2,5,2
Resort Hotel - Chennai,0,102,2024,December,52,24,2,5,2
Resort Hotel - Bangalore,0,86,2024,June,26,28,2,5,2
Resort Hotel - Kochi,0,78,2024,November,45,8,2,5,2
Resort Hotel - Chandigarh,0,52,2024,May,21,25,2,5,2
Resort Hotel - Goa,0,29,2024,May,20,13,2,6,3
Resort Hotel - Delhi,1,101,2024,April,15,14,2,6,2
Resort Hotel - Delhi,0,109,2024,January,4,23,2,6,2
Resort Hotel - Delhi,0,92,2024,May,22,27,4,6,2
Resort Hotel - Mumbai,0,92,2024,September,36,7,4,6,2
Resort Hotel - Bangalore,0,79,2024,January,5,30,4,6,2
Resort Hotel - Ahmedabad,0,2,2024,October,40,3,0,1,2
Resort Hotel - Bangalore,0,30,2024,January,1,4,0,1,2
Resort Hotel - Chennai,1,51,2024,December,51,18,0,1,1
Resort Hotel - Bangalore,1,36,2024,November,45,7,0,1,1
Resort Hotel - Ahmedabad,1,73,2024,June,22,2,0,1,2
Resort Hotel - Bhopal,1,33,2024,July,30,22,0,1,2
Resort Hotel - Delhi,0,32,2024,May,20,17,0,1,4
Resort Hotel - Jaipur,0,8,2024,January,2,10,0,1,2
Resort Hotel - Goa,0,100,2024,July,30,22,1,1,2
Resort Hotel - Pune,0,1,2024,October,40,1,1,1,2
Resort Hotel - Bhopal,0,100,2024,July,30,26,1,1,2
Resort Hotel - Chandigarh,0,100,2024,August,33,17,1,1,2
Resort Hotel - Pune,0,9,2024,October,43,26,1,0,2
Resort Hotel - Mumbai,1,5,2024,December,51,16,1,0,2
Resort Hotel - Goa,0,0,2024,May,18,4,1,0,2
Resort Hotel - Lucknow,0,9,2024,July,31,31,1,0,1
Resort Hotel - Goa,0,2,2024,October,40,5,1,0,1
Resort Hotel - Delhi,0,2,2024,March,13,27,1,0,2
Resort Hotel - Pune,0,9,2024,June,24,14,1,0,1
Resort Hotel - Goa,1,5,2024,June,26,26,1,0,2
Resort Hotel - Chandigarh,0,2,2024,May,20,19,1,0,2
Resort Hotel - Indore,0,44,2024,May,20,19,2,0,3
Resort Hotel - Goa,0,80,2024,June,26,26,2,0,2
Resort Hotel - Bangalore,0,97,2024,January,5,30,2,2,2
Resort Hotel - Chandigarh,0,109,2024,November,45,9,2,3,2
Resort Hotel - Bhopal,0,30,2024,September,38,22,2,3,2
Resort Hotel - Pune,0,64,2024,December,52,25,2,3,2
Resort Hotel - Hyderabad,0,39,2024,December,49,3,2,4,2
Resort Hotel - Mumbai,0,90,2024,September,39,29,2,4,2
Resort Hotel - Hyderabad,1,34,2024,December,49,7,2,4,2
Resort Hotel - Ahmedabad,1,93,2024,February,7,15,2,5,2
Resort Hotel - Chandigarh,0,97,2024,February,5,3,2,5,2
Resort Hotel - Chennai,0,29,2024,August,31,2,2,5,2
Resort Hotel - Pune,1,101,2024,November,45,5,2,5,2
Resort Hotel - Bangalore,0,27,2024,December,51,21,2,5,2
Resort Hotel - Delhi,0,8,2024,August,34,20,4,5,2
Resort Hotel - Kochi,0,82,2024,July,30,22,4,6,2
Resort Hotel - Delhi,0,94,2024,January,3,15,4,6,3
Resort Hotel - Lucknow,0,110,2024,February,5,4,4,7,2
Resort Hotel - Kochi,0,96,2024,January,1,4,4,10,1
Resort Hotel - Chennai,0,79,2024,December,50,13,4,10,2
Resort Hotel - Indore,0,115,2024,April,15,11,1,4,2
Resort Hotel - Bangalore,0,111,2024,July,27,3,1,3,2
Resort Hotel - Mumbai,0,51,2024,April,18,29,1,3,2
Resort Hotel - Kochi,0,94,2024,January,1,4,1,3,3
Resort Hotel - Hyderabad,0,81,2024,February,7,15,1,3,2
Resort Hotel - Kolkata,0,84,2024,July,31,31,1,3,2
Resort Hotel - Jaipur,0,51,2024,April,15,11,1,3,3
Resort Hotel - Kochi,0,111,2024,October,43,23,0,0,2
Resort Hotel - Goa,0,0,2024,October,40,5,0,0,1
Resort Hotel - Kochi,0,2,2024,October,41,9,1,0,2
Resort Hotel - Chandigarh,0,7,2024,December,52,23,1,1,2
Resort Hotel - Chennai,0,98,2024,November,46,11,1,1,2
Resort Hotel - Kochi,0,95,2024,July,29,20,1,2,2
Resort Hotel - Indore,1,48,2024,December,49,4,1,3,2
Resort Hotel - Indore,0,66,2024,March,9,2,1,3,2
Resort Hotel - Indore,0,104,2024,February,6,10,1,3,2
Resort Hotel - Lucknow,0,28,2024,March,12,21,1,4,2
Resort Hotel - Jaipur,0,34,2024,October,40,1,1,4,2
Resort Hotel - Lucknow,0,98,2024,October,43,24,1,5,2
Resort Hotel - Kolkata,0,104,2024,March,12,19,1,5,2
Resort Hotel - Kochi,0,68,2024,February,7,17,2,5,2
Resort Hotel - Delhi,1,86,2024,March,9,1,2,5,1
Resort Hotel - Jaipur,0,258,2024,February,8,22,2,5,2
Resort Hotel - Bangalore,0,111,2024,January,3,21,3,5,2
Resort Hotel - Chandigarh,1,94,2024,June,25,19,3,7,2
Resort Hotel - Hyderabad,0,112,2024,June,26,24,3,7,2
Resort Hotel - Hyderabad,0,100,2024,October,41,7,3,7,2
Resort Hotel - Pune,0,33,2024,March,10,6,3,7,2
Resort Hotel - Lucknow,0,97,2024,April,15,14,3,7,2
Resort Hotel - Ahmedabad,0,80,2024,December,50,14,3,8,1
Resort Hotel - Kolkata,0,90,2024,February,7,13,4,10,2
Resort Hotel - Lucknow,0,111,2024,June,25,22,4,10,2
Resort Hotel - Chennai,0,65,2024,December,49,5,2,5,2
Resort Hotel - Goa,1,67,2024,June,25,20,0,2,2
Resort Hotel - Jaipur,0,55,2024,September,37,15,0,3,2
Resort Hotel - Chennai,0,21,2024,December,51,20,0,3,2
Resort Hotel - Lucknow,0,8,2024,August,31,4,0,0,2
Resort Hotel - Chandigarh,0,8,2024,July,27,3,0,0,2
Resort Hotel - Kolkata,0,0,2024,September,37,12,0,1,1
Resort Hotel - Kolkata,0,0,2024,June,25,21,0,1,3
Resort Hotel - Bhopal,0,0,2024,August,33,18,0,1,1
Resort Hotel - Kolkata,0,8,2024,November,45,8,0,4,3
Resort Hotel - Chandigarh,0,66,2024,June,23,8,0,4,2
Resort Hotel - Bhopal,0,88,2024,July,30,27,0,4,3
Resort Hotel - Bangalore,0,0,2024,July,28,8,0,4,2
Resort Hotel - Kochi,1,43,2024,November,47,21,0,5,2
Resort Hotel - Jaipur,1,88,2024,August,34,25,2,5,2
Resort Hotel - Indore,0,54,2024,March,9,3,2,5,2
Resort Hotel - Lucknow,1,292,2024,March,13,27,2,5,2
Resort Hotel - Jaipur,0,112,2024,June,24,13,4,10,2
Resort Hotel - Kochi,0,68,2024,September,36,4,0,3,2
Resort Hotel - Mumbai,0,7,2024,January,4,26,0,4,2
Resort Hotel - Kolkata,0,1,2024,June,22,1,0,4,2
Resort Hotel - Bhopal,1,113,2024,October,42,20,0,4,2
Resort Hotel - Pune,0,5,2024,December,49,7,0,4,2
Resort Hotel - Ahmedabad,0,83,2024,June,23,5,0,4,2
Resort Hotel - Lucknow,1,105,2024,June,26,24,0,4,2
Resort Hotel - Ahmedabad,0,0,2024,March,11,11,0,1,1
Resort Hotel - Chandigarh,1,1,2024,August,32,11,0,1,2
Resort Hotel - Chandigarh,1,1,2024,September,38,18,0,1,2
Resort Hotel - Delhi,0,1,2024,October,41,13,0,2,2
Resort Hotel - Chandigarh,1,102,2024,October,40,4,1,4,2
Resort Hotel - Kochi,0,113,2024,April,14,5,2,4,2
Resort Hotel - Chennai,1,280,2024,February,5,2,2,5,2
Resort Hotel - Chandigarh,0,96,2024,January,2,14,2,5,2
Resort Hotel - Kolkata,0,394,2024,January,3,19,2,5,2
Resort Hotel - Jaipur,0,33,2024,April,16,16,2,5,2
Resort Hotel - Goa,0,82,2024,August,35,29,2,6,3
Resort Hotel - Chandigarh,0,100,2024,October,42,20,2,7,3
Resort Hotel - Mumbai,0,100,2024,January,5,30,2,7,2
Resort Hotel - Delhi,0,17,2024,November,48,29,0,1,2
Resort Hotel - Pune,0,68,2024,April,14,7,0,2,3
Resort Hotel - Mumbai,0,12,2024,November,46,15,0,2,2
Resort Hotel - Hyderabad,1,77,2024,November,46,16,0,3,2
Resort Hotel - Kolkata,1,24,2024,June,25,19,0,3,2
Resort Hotel - Goa,1,44,2024,August,31,1,0,3,2
Resort Hotel - Bangalore,0,78,2024,March,13,27,0,3,2
Resort Hotel - Chandigarh,1,17,2024,June,23,7,1,3,2
Resort Hotel - Chennai,1,103,2024,November,45,9,1,3,2
Resort Hotel - Bangalore,0,16,2024,September,36,3,1,3,1
Resort Hotel - Bangalore,0,14,2024,November,45,6,2,3,2
Resort Hotel - Bangalore,0,77,2024,January,4,24,2,3,2
Resort Hotel - Chandigarh,0,90,2024,November,47,22,2,5,2
Resort Hotel - Chandigarh,0,90,2024,May,20,17,2,5,2
Resort Hotel - Mumbai,0,90,2024,June,23,9,2,5,2
Resort Hotel - Bhopal,0,366,2024,November,47,24,2,5,2
Resort Hotel - Bangalore,0,249,2024,March,10,4,2,5,2
Resort Hotel - Lucknow,1,69,2024,January,3,18,2,6,2
Resort Hotel - Chandigarh,0,10,2024,October,44,31,0,1,2
Resort Hotel - Hyderabad,0,22,2024,September,37,11,0,2,2
Resort Hotel - Bhopal,0,91,2024,June,24,13,0,2,2
Resort Hotel - Bhopal,0,23,2024,April,14,7,0,2,2
Resort Hotel - Mumbai,0,11,2024,February,8,20,0,2,2
Resort Hotel - Kochi,0,3,2024,April,14,7,0,2,2
Resort Hotel - Jaipur,0,13,2024,November,47,18,0,2,2
Resort Hotel - Goa,0,108,2024,September,39,29,0,2,2
Resort Hotel - Kolkata,0,91,2024,May,18,3,0,2,2
Resort Hotel - Jaipur,0,37,2024,September,39,24,1,2,2
Resort Hotel - Chennai,0,21,2024,March,10,9,1,2,2
Resort Hotel - Pune,0,106,2024,March,13,25,1,2,2
Resort Hotel - Indore,0,30,2024,July,28,13,2,2,2
Resort Hotel - Delhi,0,30,2024,September,36,2,2,2,2
Resort Hotel - Lucknow,1,51,2024,October,44,30,2,3,2
Resort Hotel - Goa,0,79,2024,November,47,21,2,3,2
Resort Hotel - Lucknow,0,21,2024,December,51,19,2,3,2
Resort Hotel - Indore,0,35,2024,June,24,14,2,3,2
Resort Hotel - Delhi,0,78,2024,September,37,10,2,5,2
Resort Hotel - Indore,0,31,2024,February,7,12,2,5,2
Resort Hotel - Bangalore,0,78,2024,August,32,5,2,5,2
Resort Hotel - Jaipur,0,78,2024,June,26,28,2,5,2
Resort Hotel - Lucknow,0,44,2024,June,25,18,2,5,1
Resort Hotel - Jaipur,0,34,2024,July,27,1,2,5,2
Resort Hotel - Pune,0,87,2024,August,31,2,2,5,2
Resort Hotel - Ahmedabad,0,11,2024,September,37,15,2,6,3
Resort Hotel - Kochi,0,115,2024,October,42,16,2,7,2
Resort Hotel - Chandigarh,0,86,2024,May,19,8,3,7,2
Resort Hotel - Kolkata,0,41,2024,September,38,17,4,7,2
Resort Hotel - Lucknow,0,32,2024,May,21,26,4,9,2
Resort Hotel - Goa,0,34,2024,July,30,24,2,5,2
Resort Hotel - Pune,0,34,2024,November,47,22,2,5,2
Resort Hotel - Delhi,1,100,2024,October,41,10,2,3,2
Resort Hotel - Kolkata,0,44,2024,May,21,24,2,3,2
Resort Hotel - Kolkata,0,304,2024,May,21,23,2,4,2
Resort Hotel - Delhi,1,36,2024,May,20,16,2,4,2
Resort Hotel - Delhi,0,117,2024,December,49,7,2,4,3
Resort Hotel - Pune,0,70,2024,February,6,6,2,4,2
Resort Hotel - Delhi,0,110,2024,April,14,7,2,5,2
Resort Hotel - Bhopal,1,109,2024,November,46,14,2,5,2
Resort Hotel - Ahmedabad,0,33,2024,August,35,28,2,2,2
Resort Hotel - Ahmedabad,0,33,2024,June,26,30,2,2,2
Resort Hotel - Goa,0,33,2024,March,12,23,2,2,2
Resort Hotel - Kolkata,0,0,2024,April,17,25,0,1,1
Resort Hotel - Hyderabad,0,0,2024,September,38,20,0,1,2
Resort Hotel - Delhi,0,0,2024,March,10,4,0,1,2
Resort Hotel - Hyderabad,0,0,2024,August,33,14,0,1,2
Resort Hotel - Jaipur,0,84,2024,October,44,28,1,1,2
Resort Hotel - Ahmedabad,0,71,2024,February,5,3,1,1,2
Resort Hotel - Mumbai,0,16,2024,February,8,21,1,1,2
Resort Hotel - Ahmedabad,0,54,2024,February,6,6,2,1,2
Resort Hotel - Chennai,0,8,2024,March,11,16,2,1,2
Resort Hotel - Kochi,0,36,2024,November,46,13,2,5,2
Resort Hotel - Delhi,0,40,2024,October,40,4,2,5,2
Resort Hotel - Chandigarh,1,59,2024,May,20,14,2,6,2
Resort Hotel - Pune,0,79,2024,March,12,19,2,6,2
Resort Hotel - Bhopal,0,32,2024,April,17,24,4,6,2
Resort Hotel - Pune,0,110,2024,March,11,11,2,5,2
Resort Hotel - Delhi,0,33,2024,May,20,16,2,5,2
Resort Hotel - Indore,0,53,2024,February,8,20,1,0,2
Resort Hotel - Chandigarh,0,2,2024,May,21,22,1,0,2
Resort Hotel - Bangalore,0,8,2024,October,44,28,2,4,2
Resort Hotel - Bhopal,1,72,2024,October,41,13,2,4,2
Resort Hotel - Hyderabad,0,12,2024,March,10,10,2,5,2
Resort Hotel - Bhopal,0,48,2024,July,29,18,2,5,2
Resort Hotel - Chennai,0,90,2024,July,30,25,2,5,2
Resort Hotel - Hyderabad,0,34,2024,July,29,19,2,5,2
Resort Hotel - Hyderabad,1,58,2024,December,50,12,2,5,3
Resort Hotel - Jaipur,0,59,2024,February,8,25,2,5,2
Resort Hotel - Chennai,0,90,2024,November,45,9,2,5,2
Resort Hotel - Delhi,0,116,2024,February,8,25,2,5,2
Resort Hotel - Indore,0,31,2024,November,48,28,2,5,2
Resort Hotel - Hyderabad,1,51,2024,April,17,26,2,5,2
Resort Hotel - Lucknow,0,48,2024,September,37,15,2,5,2
Resort Hotel - Mumbai,0,59,2024,February,9,27,2,5,2
Resort Hotel - Kolkata,1,97,2024,September,39,27,3,5,2
Resort Hotel - Pune,0,12,2024,September,38,20,4,5,2
Resort Hotel - Bhopal,0,64,2024,November,47,20,4,5,2
Resort Hotel - Chennai,0,31,2024,November,48,25,4,7,2
Resort Hotel - Kochi,0,59,2024,March,13,28,4,7,2
Resort Hotel - Kochi,1,55,2024,November,47,22,4,10,2
Resort Hotel - Indore,0,81,2024,September,39,23,2,5,2
Resort Hotel - Delhi,0,1,2024,September,36,3,1,0,2
Resort Hotel - Kochi,0,34,2024,May,20,15,2,0,2
Resort Hotel - Hyderabad,0,13,2024,March,10,5,2,0,2
Resort Hotel - Ahmedabad,0,40,2024,January,3,18,2,0,2
Resort Hotel - Indore,0,1,2024,October,42,20,2,0,2
Resort Hotel - Bangalore,0,34,2024,December,50,13,2,0,2
Resort Hotel - Indore,0,88,2024,August,34,24,2,1,2
Resort Hotel - Bhopal,0,9,2024,October,42,16,2,1,2
Resort Hotel - Delhi,1,24,2024,January,5,29,2,1,2
Resort Hotel - Bangalore,0,97,2024,September,37,9,2,2,2
Resort Hotel - Hyderabad,0,60,2024,June,24,14,2,2,2
Resort Hotel - Pune,0,100,2024,July,30,28,2,2,2
Resort Hotel - Bangalore,0,50,2024,August,33,17,2,3,2
Resort Hotel - Chandigarh,1,47,2024,January,4,27,2,3,2
Resort Hotel - Kochi,0,8,2024,February,6,5,2,3,2
Resort Hotel - Kochi,0,34,2024,May,18,5,2,3,2
Resort Hotel - Chandigarh,0,47,2024,February,5,2,2,5,2
Resort Hotel - Lucknow,0,115,2024,April,16,18,2,5,2
Resort Hotel - Delhi,1,79,2024,December,51,18,2,5,2
Resort Hotel - Indore,0,91,2024,February,9,29,2,5,2
Resort Hotel - Bangalore,0,98,2024,May,21,21,1,1,2
Resort Hotel - Bangalore,0,109,2024,November,44,3,1,1,2
Resort Hotel - Ahmedabad,0,0,2024,November,48,28,1,1,2
Resort Hotel - Delhi,0,98,2024,July,27,7,1,1,2
Resort Hotel - Pune,0,0,2024,December,49,6,1,1,4
Resort Hotel - Pune,0,9,2024,June,26,28,1,1,2
Resort Hotel - Pune,0,62,2024,May,20,16,1,1,2
Resort Hotel - Chandigarh,1,45,2024,April,17,23,1,1,2
Resort Hotel - Delhi,0,42,2024,October,44,28,1,2,2
Resort Hotel - Kochi,0,54,2024,March,13,27,1,2,2
Resort Hotel - Mumbai,0,51,2024,November,45,8,1,2,2
Resort Hotel - Kolkata,0,54,2024,August,34,24,1,2,2
Resort Hotel - Pune,0,58,2024,June,24,13,1,2,2
Resort Hotel - Hyderabad,0,0,2024,November,48,25,1,3,1
Resort Hotel - Bhopal,1,60,2024,March,10,10,1,4,2
Resort Hotel - Pune,1,321,2024,September,39,28,1,4,2
Resort Hotel - Pune,0,40,2024,November,48,26,1,4,2
Resort Hotel - Mumbai,1,51,2024,June,25,18,1,4,2
Resort Hotel - Chennai,0,38,2024,April,16,20,1,4,2
Resort Hotel - Bhopal,1,75,2024,August,31,3,1,4,2
Resort Hotel - Mumbai,0,101,2024,November,48,26,1,4,2
Resort Hotel - Jaipur,1,42,2024,June,24,13,1,4,2
Resort Hotel - Indore,0,40,2024,December,49,5,1,4,2
Resort Hotel - Lucknow,0,109,2024,February,7,16,1,4,3
Resort Hotel - Bangalore,1,81,2024,February,7,18,1,5,2
Resort Hotel - Lucknow,1,98,2024,November,47,19,1,5,2
Resort Hotel - Kolkata,0,32,2024,April,14,4,1,5,1
Resort Hotel - Mumbai,0,72,2024,February,6,5,1,5,2
Resort Hotel - Hyderabad,0,115,2024,June,24,14,2,5,2
Resort Hotel - Chandigarh,0,118,2024,January,4,24,2,5,2
Resort Hotel - Chandigarh,0,81,2024,May,19,10,2,5,2
Resort Hotel - Kochi,1,95,2024,October,41,13,2,5,2
Resort Hotel - Goa,0,16,2024,November,46,14,1,0,2
Resort Hotel - Delhi,0,56,2024,October,40,3,1,3,2
Resort Hotel - Bangalore,0,88,2024,January,3,19,3,5,2
Resort Hotel - Kolkata,0,41,2024,October,44,30,3,6,2
Resort Hotel - Bhopal,1,40,2024,August,34,25,0,1,2
Resort Hotel - Ahmedabad,0,1,2024,March,11,15,0,1,1
Resort Hotel - Chennai,0,1,2024,November,45,5,0,1,2
Resort Hotel - Delhi,0,1,2024,April,14,4,0,2,2
Resort Hotel - Pune,1,76,2024,July,29,18,0,4,2
Resort Hotel - Bangalore,0,0,2024,August,35,27,0,4,2
Resort Hotel - Ahmedabad,0,49,2024,October,42,16,0,5,2
Resort Hotel - Lucknow,0,76,2024,February,8,19,0,5,2
Resort Hotel - Indore,0,73,2024,June,24,16,1,5,2
Resort Hotel - Mumbai,0,73,2024,June,24,13,1,5,2
Resort Hotel - Chennai,0,317,2024,December,51,22,1,5,2
Resort Hotel - Bangalore,1,112,2024,July,28,10,2,5,1
Resort Hotel - Chandigarh,0,6,2024,November,46,11,2,5,2
Resort Hotel - Mumbai,0,8,2024,February,7,14,2,5,2
Resort Hotel - Chennai,1,96,2024,June,23,3,2,7,2
Resort Hotel - Delhi,1,96,2024,July,29,20,2,7,2
Resort Hotel - Kochi,0,99,2024,October,43,23,2,7,2
Resort Hotel - Jaipur,0,66,2024,November,47,20,2,9,2
Resort Hotel - Hyderabad,0,38,2024,February,7,14,4,10,2
Resort Hotel - Bhopal,0,38,2024,March,13,29,4,10,2
Resort Hotel - Lucknow,0,113,2024,April,15,8,4,11,3
Resort Hotel - Bhopal,0,0,2024,August,31,3,0,1,1
Resort Hotel - Delhi,1,62,2024,January,3,21,0,3,2
Resort Hotel - Indore,1,39,2024,February,9,26,0,3,2
Resort Hotel - Chandigarh,0,37,2024,December,50,10,2,4,2
Resort Hotel - Indore,1,58,2024,August,34,21,2,5,2
Resort Hotel - Lucknow,0,37,2024,May,21,23,2,6,2
Resort Hotel - Kolkata,0,57,2024,February,6,6,0,2,2
Resort Hotel - Goa,0,57,2024,December,52,24,0,2,2
Resort Hotel - Jaipur,0,57,2024,February,6,9,0,2,2
Resort Hotel - Kolkata,0,57,2024,July,29,17,0,2,2
Resort Hotel - Jaipur,0,57,2024,August,34,24,0,2,2
Resort Hotel - Kolkata,0,83,2024,October,41,11,2,7,2
Resort Hotel - Pune,0,57,2024,November,46,16,0,2,2
Resort Hotel - Kochi,0,57,2024,September,37,13,0,2,1
Resort Hotel - Delhi,1,57,2024,November,45,5,0,2,2
Resort Hotel - Indore,0,57,2024,March,10,7,0,2,2
Resort Hotel - Indore,0,57,2024,April,14,6,0,2,3
